Time stamp,Paris Day text,Paris Day Type,Paris third,Instagram user,Instgram photo
"July 24, 2015 at 07:39AM",Thursday,Weekday,4pm - 12am,alicebeatts_,hi
"July 23, 2015 at 11:49AM",Thursday,Weekday,12am - 8am,gael0064,hi
"July 23, 2015 at 12:34PM",Thursday,Weekday,12am - 8am,brifrey8999,hi
"July 23, 2015 at 05:00AM",Wednesday,Weekday,4pm - 12am,dairamc1,hi
"July 22, 2015 at 11:11PM",Wednesday,Weekday,8am - 4pm,irene_yelin,hi
"July 23, 2015 at 12:26PM",Thursday,Weekday,12am - 8am,kenza.ghenimi,hi
"July 22, 2015 at 07:51PM",Wednesday,Weekday,8am - 4pm,la_petite_poline,hi
"July 23, 2015 at 05:40PM",Thursday,Weekday,12am - 8am,lalalalalabiu,hi
"July 23, 2015 at 12:41PM",Thursday,Weekday,12am - 8am,vanyamarsh,hi
"July 23, 2015 at 08:37AM",Wednesday,Weekday,4pm - 12am,pinarakinnn,hi
"July 23, 2015 at 10:12PM",Thursday,Weekday,8am - 4pm,justsmileale82,hi
"July 23, 2015 at 10:41AM",Thursday,Weekday,12am - 8am,ishish10,hi
"July 23, 2015 at 09:29AM",Wednesday,Weekday,4pm - 12am,nastya__nast,hi
"July 22, 2015 at 02:48PM",Wednesday,Weekday,12am - 8am,omargallardo,hi
"July 24, 2015 at 12:19PM",Friday,Weekday,12am - 8am,hannnn.___.cw,hi
"July 23, 2015 at 12:56PM",Thursday,Weekday,12am - 8am,olivedvs,hi
"July 24, 2015 at 10:03AM",Friday,Weekday,12am - 8am,abureenad111,hi
"July 22, 2015 at 09:06PM",Wednesday,Weekday,8am - 4pm,__basix__,hi
"July 22, 2015 at 12:56PM",Wednesday,Weekday,12am - 8am,kami2o,hi
"July 22, 2015 at 07:53PM",Wednesday,Weekday,8am - 4pm,rajder777,hi
"July 23, 2015 at 12:22AM",Wednesday,Weekday,8am - 4pm,khairmra,hi
"July 22, 2015 at 12:58PM",Wednesday,Weekday,12am - 8am,cuterosalind,hi
"July 23, 2015 at 09:36AM",Wednesday,Weekday,4pm - 12am,mi6lo,hi
"July 23, 2015 at 05:39AM",Wednesday,Weekday,4pm - 12am,maxlefevre,hi
"July 22, 2015 at 10:45PM",Wednesday,Weekday,8am - 4pm,_bacchus,hi
"July 23, 2015 at 05:44AM",Wednesday,Weekday,4pm - 12am,connor_underwood23,hi
"July 23, 2015 at 10:27AM",Thursday,Weekday,12am - 8am,friquiqui,hi
"July 22, 2015 at 10:19AM",Wednesday,Weekday,12am - 8am,cassiezzze,hi
"July 23, 2015 at 08:34AM",Wednesday,Weekday,4pm - 12am,giharo,hi
"July 23, 2015 at 09:23AM",Wednesday,Weekday,4pm - 12am,sa89845690,hi
"July 22, 2015 at 05:43PM",Wednesday,Weekday,12am - 8am,emiliefbergmann,hi
"July 23, 2015 at 06:18PM",Thursday,Weekday,8am - 4pm,badoora_00,hi
"July 23, 2015 at 09:37AM",Wednesday,Weekday,4pm - 12am,ksrapps,hi
"July 24, 2015 at 11:52AM",Friday,Weekday,12am - 8am,mrvglsn,hi
"July 23, 2015 at 12:19PM",Thursday,Weekday,12am - 8am,kellychan0330,hi
"July 23, 2015 at 05:40PM",Thursday,Weekday,12am - 8am,albertusrian,hi
